NACCAGE,EDUC,SEX,RACE,model,RACE_model,mean.adj,sd.adj,mean.adj.ori,sd.adj.ori,,,,,
79,12,0,White,transformed,0,2.019555825,0.093951595,33.40935406,10.66211816,,,,,
80,12,0,White,transformed,0,2.024294736,0.093951595,34.02586087,10.87082924,,,,,
81,12,0,White,transformed,0,2.029644137,0.093951595,34.75611072,11.08975543,,,,,
82,12,0,White,transformed,0,2.035447227,0.093951595,35.56444627,11.31873715,,,,,
83,12,0,White,transformed,0,2.041545966,0.093951595,36.41496701,11.55761099,,,,,
84,12,0,White,transformed,0,2.047782311,0.093951595,37.27177241,11.80621351,,,,,
85,12,0,White,transformed,0,2.05399822,0.093951595,38.09896196,12.06438128,,,,,
86,12,0,White,transformed,0,2.060035652,0.093951595,38.86063512,12.33195087,,,,,
87,12,0,White,transformed,0,2.065736563,0.093951595,39.52089137,12.60875885,,,,,
88,12,0,White,transformed,0,2.071025354,0.093951595,40.06755105,12.89455067,,,,,
89,12,0,White,transformed,0,2.076335189,0.093951595,40.63482301,13.18850932,,,,,
90,12,0,White,transformed,0,2.082293122,0.093951595,41.41270405,13.48960345,,,,,
91,12,0,White,transformed,0,2.089526589,0.093951595,42.59130081,13.79680132,,,,,
92,12,0,White,transformed,0,2.098663024,0.093951595,44.36071991,14.10907115,,,,,
93,12,0,White,transformed,0,2.110329864,0.093951595,46.91106798,14.42538119,,,,,
94,12,0,White,transformed,0,2.125154543,0.093951595,50.43245164,14.74469967,,,,,
95,12,0,White,transformed,0,2.143764497,0.093951595,55.11497752,15.06599483,,,,,
40,13,0,White,transformed,0,1.876872643,0.093951595,22.38769413,5.638219633,,,,,
41,13,0,White,transformed,0,1.87717769,0.093951595,22.39198134,5.740724877,,,,,
42,13,0,White,transformed,0,1.877503062,0.093951595,22.39889053,5.843392022,,,,,
43,13,0,White,transformed,0,1.877861339,0.093951595,22.41086472,5.946305849,,,,,
44,13,0,White,transformed,0,1.878265098,0.093951595,22.43034695,6.049551137,,,,,
45,13,0,White,transformed,0,1.878726918,0.093951595,22.45978027,6.153212669,,,,,
46,13,0,White,transformed,0,1.879259378,0.093951595,22.50160772,6.257375225,,,,,
47,13,0,White,transformed,0,1.879875056,0.093951595,22.55827232,6.362123584,,,,,
48,13,0,White,transformed,0,1.880586568,0.093951595,22.63221658,6.467542535,,,,,
49,13,0,White,transformed,0,1.881425975,0.093951595,22.72560903,6.573719926,,,,,
50,13,0,White,transformed,0,1.882476356,0.093951595,22.83989922,6.680751641,,,,,
51,13,0,White,transformed,0,1.883829058,0.093951595,22.97642026,6.788734865,,,,,
52,13,0,White,transformed,0,1.885575427,0.093951595,23.13650521,6.897766784,,,,,
53,13,0,White,transformed,0,1.88780681,0.093951595,23.32148717,7.007944584,,,,,
54,13,0,White,transformed,0,1.890614554,0.093951595,23.53269921,7.11936545,,,,,
55,13,0,White,transformed,0,1.894090006,0.093951595,23.77147441,7.232126567,,,,,
56,13,0,White,transformed,0,1.898323647,0.093951595,24.03913838,7.346324963,,,,,
57,13,0,White,transformed,0,1.903330668,0.093951595,24.33636435,7.462043777,,,,,
58,13,0,White,transformed,0,1.908993603,0.093951595,24.66267622,7.579341682,,,,,
59,13,0,White,transformed,0,1.915181484,0.093951595,25.01748091,7.698274862,,,,,
60,13,0,White,transformed,0,1.921763342,0.093951595,25.40018532,7.8188995,,,,,
61,13,0,White,transformed,0,1.928608209,0.093951595,25.81019637,7.941271779,,,,,
62,13,0,White,transformed,0,1.935585117,0.093951595,26.24692096,8.065447882,,,,,
63,13,0,White,transformed,0,1.942563096,0.093951595,26.709766,8.191483993,,,,,
64,13,0,White,transformed,0,1.949412328,0.093951595,27.19798746,8.319438713,,,,,
65,13,0,White,transformed,0,1.95604094,0.093951595,27.70585416,8.449450534,,,,,
66,13,0,White,transformed,0,1.96240279,0.093951595,28.22162468,8.581754226,,,,,
67,13,0,White,transformed,0,1.96845446,0.093951595,28.73319979,8.716590295,,,,,
68,13,0,White,transformed,0,1.974152533,0.093951595,29.22848024,8.854199244,,,,,
69,13,0,White,transformed,0,1.97945359,0.093951595,29.69536679,8.994821576,,,,,
70,13,0,White,transformed,0,1.984314212,0.093951595,30.1217602,9.138697795,,,,,
71,13,0,White,transformed,0,1.988690982,0.093951595,30.49556122,9.286068405,,,,,
72,13,0,White,transformed,0,1.99254686,0.093951595,30.8058761,9.437192148,,,,,
73,13,0,White,transformed,0,1.99595195,0.093951595,31.06205936,9.592634115,,,,,
74,13,0,White,transformed,0,1.999065262,0.093951595,31.2902669,9.753213597,,,,,
75,13,0,White,transformed,0,2.002048494,0.093951595,31.51716319,9.919757576,,,,,
76,13,0,White,transformed,0,2.005063347,0.093951595,31.76941268,10.09309304,,,,,
77,13,0,White,transformed,0,2.008271519,0.093951595,32.07367983,10.27404697,,,,,
78,13,0,White,transformed,0,2.011834712,0.093951595,32.45662911,10.46344635,,,,,
79,13,0,White,transformed,0,2.015914625,0.093951595,32.94492499,10.66211816,,,,,
80,13,0,White,transformed,0,2.020653536,0.093951595,33.5614318,10.87082924,,,,,
81,13,0,White,transformed,0,2.026002936,0.093951595,34.29168164,11.08975543,,,,,
82,13,0,White,transformed,0,2.031806027,0.093951595,35.10001719,11.31873715,,,,,
83,13,0,White,transformed,0,2.037904765,0.093951595,35.95053793,11.55761099,,,,,
84,13,0,White,transformed,0,2.04414111,0.093951595,36.80734334,11.80621351,,,,,
85,13,0,White,transformed,0,2.050357019,0.093951595,37.63453288,12.06438128,,,,,
86,13,0,White,transformed,0,2.056394451,0.093951595,38.39620604,12.33195087,,,,,
87,13,0,White,transformed,0,2.062095363,0.093951595,39.05646229,12.60875885,,,,,
88,13,0,White,transformed,0,2.067384153,0.093951595,39.60312197,12.89455067,,,,,
89,13,0,White,transformed,0,2.072693989,0.093951595,40.17039393,13.18850932,,,,,
90,13,0,White,transformed,0,2.078651922,0.093951595,40.94827498,13.48960345,,,,,
91,13,0,White,transformed,0,2.085885388,0.093951595,42.12687174,13.79680132,,,,,
92,13,0,White,transformed,0,2.095021824,0.093951595,43.89629084,14.10907115,,,,,
93,13,0,White,transformed,0,2.106688663,0.093951595,46.4466389,14.42538119,,,,,
94,13,0,White,transformed,0,2.121513342,0.093951595,49.96802256,14.74469967,,,,,
95,13,0,White,transformed,0,2.140123296,0.093951595,54.65054845,15.06599483,,,,,
40,14,0,White,transformed,0,1.873231443,0.093951595,21.92326506,5.638219633,,,,,
41,14,0,White,transformed,0,1.873536489,0.093951595,21.92755227,5.740724877,,,,,
42,14,0,White,transformed,0,1.873861861,0.093951595,21.93446145,5.843392022,,,,,
43,14,0,White,transformed,0,1.874220138,0.093951595,21.94643564,5.946305849,,,,,
44,14,0,White,transformed,0,1.874623897,0.093951595,21.96591788,6.049551137,,,,,
45,14,0,White,transformed,0,1.875085718,0.093951595,21.9953512,6.153212669,,,,,
