NACCAGE,EDUC,SEX,mean.adj,sd.adj,Zscore
74,18,0,2.234682051,0.129801975,0
75,18,0,2.238373872,0.129801975,0
76,18,0,2.242042387,0.129801975,0
77,18,0,2.245824065,0.129801975,0
78,18,0,2.249855375,0.129801975,0
79,18,0,2.254272786,0.129801975,0
80,18,0,2.259201464,0.129801975,0
81,18,0,2.264655536,0.129801975,0
82,18,0,2.270586102,0.129801975,0
83,18,0,2.276943538,0.129801975,0
84,18,0,2.283678223,0.129801975,0
85,18,0,2.290740533,0.129801975,0
86,18,0,2.298080846,0.129801975,0
87,18,0,2.305649539,0.129801975,0
88,18,0,2.313404847,0.129801975,0
89,18,0,2.321353496,0.129801975,0
90,18,0,2.329520692,0.129801975,0
91,18,0,2.337931678,0.129801975,0
92,18,0,2.346611697,0.129801975,0
93,18,0,2.355585992,0.129801975,0
94,18,0,2.364879805,0.129801975,0
95,18,0,2.374518379,0.129801975,0
40,19,0,2.049665838,0.129801975,0
41,19,0,2.051436684,0.129801975,0
42,19,0,2.053230953,0.129801975,0
43,19,0,2.055061495,0.129801975,0
44,19,0,2.056941157,0.129801975,0
45,19,0,2.058882789,0.129801975,0
46,19,0,2.060899237,0.129801975,0
47,19,0,2.063003351,0.129801975,0
48,19,0,2.065208031,0.129801975,0
49,19,0,2.06755246,0.129801975,0
50,19,0,2.070144789,0.129801975,0
51,19,0,2.073104346,0.129801975,0
52,19,0,2.076550458,0.129801975,0
53,19,0,2.080602451,0.129801975,0
54,19,0,2.085379653,0.129801975,0
55,19,0,2.091001391,0.129801975,0
56,19,0,2.097585737,0.129801975,0
57,19,0,2.105141503,0.129801975,0
58,19,0,2.113484999,0.129801975,0
59,19,0,2.12241294,0.129801975,0
60,19,0,2.13172204,0.129801975,0
61,19,0,2.141209014,0.129801975,0
62,19,0,2.150670578,0.129801975,0
63,19,0,2.159903446,0.129801975,0
64,19,0,2.168707063,0.129801975,0
65,19,0,2.176971048,0.129801975,0
66,19,0,2.184693698,0.129801975,0
67,19,0,2.191879779,0.129801975,0
68,19,0,2.198534058,0.129801975,0
69,19,0,2.2046613,0.129801975,0
70,19,0,2.210266272,0.129801975,0
71,19,0,2.215353739,0.129801975,0
72,19,0,2.219932564,0.129801975,0
73,19,0,2.224080404,0.129801975,0
74,19,0,2.227931999,0.129801975,0
75,19,0,2.23162382,0.129801975,0
76,19,0,2.235292335,0.129801975,0
77,19,0,2.239074013,0.129801975,0
78,19,0,2.243105323,0.129801975,0
79,19,0,2.247522734,0.129801975,0
80,19,0,2.252451412,0.129801975,0
81,19,0,2.257905484,0.129801975,0
82,19,0,2.26383605,0.129801975,0
83,19,0,2.270193486,0.129801975,0
84,19,0,2.276928171,0.129801975,0
85,19,0,2.283990481,0.129801975,0
86,19,0,2.291330794,0.129801975,0
87,19,0,2.298899487,0.129801975,0
88,19,0,2.306654795,0.129801975,0
89,19,0,2.314603444,0.129801975,0
90,19,0,2.32277064,0.129801975,0
91,19,0,2.331181626,0.129801975,0
92,19,0,2.339861645,0.129801975,0
93,19,0,2.34883594,0.129801975,0
94,19,0,2.358129753,0.129801975,0
95,19,0,2.367768327,0.129801975,0
40,20,0,2.042915786,0.129801975,0
41,20,0,2.044686632,0.129801975,0
42,20,0,2.046480901,0.129801975,0
43,20,0,2.048311443,0.129801975,0
44,20,0,2.050191105,0.129801975,0
45,20,0,2.052132737,0.129801975,0
46,20,0,2.054149185,0.129801975,0
47,20,0,2.056253299,0.129801975,0
48,20,0,2.058457979,0.129801975,0
49,20,0,2.060802408,0.129801975,0
50,20,0,2.063394737,0.129801975,0
51,20,0,2.066354294,0.129801975,0
52,20,0,2.069800406,0.129801975,0
53,20,0,2.073852399,0.129801975,0
54,20,0,2.078629601,0.129801975,0
55,20,0,2.084251339,0.129801975,0
56,20,0,2.090835685,0.129801975,0
57,20,0,2.098391451,0.129801975,0
58,20,0,2.106734947,0.129801975,0
59,20,0,2.115662888,0.129801975,0
60,20,0,2.124971988,0.129801975,0
61,20,0,2.134458962,0.129801975,0
62,20,0,2.143920526,0.129801975,0
63,20,0,2.153153394,0.129801975,0
64,20,0,2.161957011,0.129801975,0
65,20,0,2.170220996,0.129801975,0
66,20,0,2.177943646,0.129801975,0
67,20,0,2.185129727,0.129801975,0
68,20,0,2.191784006,0.129801975,0
69,20,0,2.197911248,0.129801975,0
70,20,0,2.20351622,0.129801975,0
71,20,0,2.208603687,0.129801975,0
72,20,0,2.213182512,0.129801975,0
73,20,0,2.217330352,0.129801975,0
74,20,0,2.221181947,0.129801975,0
75,20,0,2.224873768,0.129801975,0
76,20,0,2.228542283,0.129801975,0
77,20,0,2.232323961,0.129801975,0
78,20,0,2.236355271,0.129801975,0
79,20,0,2.240772682,0.129801975,0
80,20,0,2.24570136,0.129801975,0
81,20,0,2.251155432,0.129801975,0
82,20,0,2.257085998,0.129801975,0
83,20,0,2.263443434,0.129801975,0
84,20,0,2.270178119,0.129801975,0
85,20,0,2.277240429,0.129801975,0
86,20,0,2.284580742,0.129801975,0
87,20,0,2.292149435,0.129801975,0
88,20,0,2.299904743,0.129801975,0
89,20,0,2.307853392,0.129801975,0
90,20,0,2.316020588,0.129801975,0
91,20,0,2.324431574,0.129801975,0
92,20,0,2.333111593,0.129801975,0
93,20,0,2.342085888,0.129801975,0
94,20,0,2.351379701,0.129801975,0
95,20,0,2.361018275,0.129801975,0
40,10,1,2.113244524,0.129801975,0
41,10,1,2.115015369,0.129801975,0
42,10,1,2.116809639,0.129801975,0
43,10,1,2.118640181,0.129801975,0
44,10,1,2.120519843,0.129801975,0
45,10,1,2.122461474,0.129801975,-1.698445081
46,10,1,2.124477923,0.129801975,0
47,10,1,2.126582037,0.129801975,0
48,10,1,2.128786716,0.129801975,0
49,10,1,2.131131145,0.129801975,0
50,10,1,2.133723475,0.129801975,0
51,10,1,2.136683032,0.129801975,0
52,10,1,2.140129144,0.129801975,0
53,10,1,2.144181137,0.129801975,0
54,10,1,2.148958339,0.129801975,0
55,10,1,2.154580077,0.129801975,0
56,10,1,2.161164423,0.129801975,0
57,10,1,2.168720189,0.129801975,0
58,10,1,2.177063685,0.129801975,0
59,10,1,2.185991626,0.129801975,0
60,10,1,2.195300726,0.129801975,-1.137288354
61,10,1,2.2047877,0.129801975,0
62,10,1,2.214249264,0.129801975,0
63,10,1,2.223482132,0.129801975,0
64,10,1,2.232285748,0.129801975,0
65,10,1,2.240549734,0.129801975,0
66,10,1,2.248272384,0.129801975,0
67,10,1,2.255458465,0.129801975,0
68,10,1,2.262112744,0.129801975,0
69,10,1,2.268239986,0.129801975,0
70,10,1,2.273844957,0.129801975,0
71,10,1,2.278932425,0.129801975,0
72,10,1,2.28351125,0.129801975,0
73,10,1,2.287659089,0.129801975,0
74,10,1,2.291510685,0.129801975,0
75,10,1,2.295202506,0.129801975,-0.367640742
76,10,1,2.29887102,0.129801975,0
