NACCAGE,EDUC,SEX,RACE,model,RACE_model,mean.adj,sd.adj,,
66,15,0,White,transformed,0,2.181761503,0.122524029,,
67,15,0,White,transformed,0,2.189836684,0.122524029,,
68,15,0,White,transformed,0,2.197459988,0.122524029,,
69,15,0,White,transformed,0,2.204561318,0.122524029,,
70,15,0,White,transformed,0,2.211070577,0.122524029,,
71,15,0,White,transformed,0,2.21691767,0.122524029,,
72,15,0,White,transformed,0,2.222041185,0.122524029,,
73,15,0,White,transformed,0,2.226525606,0.122524029,,
74,15,0,White,transformed,0,2.230576474,0.122524029,,
75,15,0,White,transformed,0,2.234402994,0.122524029,,
76,15,0,White,transformed,0,2.238214372,0.122524029,,
77,15,0,White,transformed,0,2.242219814,0.122524029,,
78,15,0,White,transformed,0,2.246628526,0.122524029,,
79,15,0,White,transformed,0,2.251649712,0.122524029,,
80,15,0,White,transformed,0,2.257469512,0.122524029,,
81,15,0,White,transformed,0,2.264047456,0.122524029,,
82,15,0,White,transformed,0,2.271214451,0.122524029,,
83,15,0,White,transformed,0,2.278799931,0.122524029,,
84,15,0,White,transformed,0,2.286633328,0.122524029,,
85,15,0,White,transformed,0,2.294544073,0.122524029,,
86,15,0,White,transformed,0,2.3023616,0.122524029,,
87,15,0,White,transformed,0,2.30991534,0.122524029,,
88,15,0,White,transformed,0,2.317097437,0.122524029,,
89,15,0,White,transformed,0,2.324187037,0.122524029,,
90,15,0,White,transformed,0,2.331610773,0.122524029,,
91,15,0,White,transformed,0,2.339795566,0.122524029,,
92,15,0,White,transformed,0,2.349168341,0.122524029,,
93,15,0,White,transformed,0,2.36015602,0.122524029,,
94,15,0,White,transformed,0,2.373185525,0.122524029,,
95,15,0,White,transformed,0,2.38868378,0.122524029,,
40,16,0,White,transformed,0,2.06684396,0.122524029,,
41,16,0,White,transformed,0,2.067257591,0.122524029,,
42,16,0,White,transformed,0,2.06769621,0.122524029,,
43,16,0,White,transformed,0,2.06817491,0.122524029,,
44,16,0,White,transformed,0,2.068708782,0.122524029,,
45,16,0,White,transformed,0,2.069312916,0.122524029,,-2.233113664
46,16,0,White,transformed,0,2.070002405,0.122524029,,
47,16,0,White,transformed,0,2.070792338,0.122524029,,
48,16,0,White,transformed,0,2.071697858,0.122524029,,
49,16,0,White,transformed,0,2.072759832,0.122524029,,
50,16,0,White,transformed,0,2.074086628,0.122524029,,
51,16,0,White,transformed,0,2.075797555,0.122524029,,
52,16,0,White,transformed,0,2.078011919,0.122524029,,
53,16,0,White,transformed,0,2.080849028,0.122524029,,
54,16,0,White,transformed,0,2.08442819,0.122524029,,
55,16,0,White,transformed,0,2.088868711,0.122524029,,
56,16,0,White,transformed,0,2.094288803,0.122524029,,
57,16,0,White,transformed,0,2.100711209,0.122524029,,
58,16,0,White,transformed,0,2.107990466,0.122524029,,
59,16,0,White,transformed,0,2.115963994,0.122524029,,
60,16,0,White,transformed,0,2.124469209,0.122524029,,-1.782946516
61,16,0,White,transformed,0,2.13334353,0.122524029,,
62,16,0,White,transformed,0,2.142424373,0.122524029,,
63,16,0,White,transformed,0,2.151549157,0.122524029,,
64,16,0,White,transformed,0,2.160556513,0.122524029,,
65,16,0,White,transformed,0,2.169325158,0.122524029,,
66,16,0,White,transformed,0,2.177782119,0.122524029,,
67,16,0,White,transformed,0,2.1858573,0.122524029,,
68,16,0,White,transformed,0,2.193480603,0.122524029,,
69,16,0,White,transformed,0,2.200581933,0.122524029,,
70,16,0,White,transformed,0,2.207091193,0.122524029,,
71,16,0,White,transformed,0,2.212938286,0.122524029,,
72,16,0,White,transformed,0,2.218061801,0.122524029,,
73,16,0,White,transformed,0,2.222546222,0.122524029,,
74,16,0,White,transformed,0,2.22659709,0.122524029,,
75,16,0,White,transformed,0,2.23042361,0.122524029,,-0.918182261
76,16,0,White,transformed,0,2.234234988,0.122524029,,
77,16,0,White,transformed,0,2.23824043,0.122524029,,
78,16,0,White,transformed,0,2.242649142,0.122524029,,
79,16,0,White,transformed,0,2.247670328,0.122524029,,
80,16,0,White,transformed,0,2.253490128,0.122524029,,
81,16,0,White,transformed,0,2.260068072,0.122524029,,
82,16,0,White,transformed,0,2.267235067,0.122524029,,
83,16,0,White,transformed,0,2.274820547,0.122524029,,
84,16,0,White,transformed,0,2.282653944,0.122524029,,
