NACCAGE,EDUC,SEX,RACE,model,RACE_model,mean.adj,sd.adj,,
85,15,0,White,transformed,0,2.45133929,0.098871288,,
86,15,0,White,transformed,0,2.456758637,0.099368427,,
87,15,0,White,transformed,0,2.462449016,0.099849971,,
88,15,0,White,transformed,0,2.468438254,0.100310344,,
89,15,0,White,transformed,0,2.474749769,0.100749851,,
90,15,0,White,transformed,0,2.4814053,0.101171034,,
91,15,0,White,transformed,0,2.488426584,0.10157644,,
92,15,0,White,transformed,0,2.495835354,0.101968616,,
93,15,0,White,transformed,0,2.503653346,0.102350109,,
94,15,0,White,transformed,0,2.511902297,0.102723466,,
95,15,0,White,transformed,0,2.520603941,0.103091233,,
40,16,0,White,transformed,0,2.264365935,0.09132112,,
41,16,0,White,transformed,0,2.265249794,0.091356017,,
42,16,0,White,transformed,0,2.266149177,0.091390969,,
43,16,0,White,transformed,0,2.267071984,0.091426012,,
44,16,0,White,transformed,0,2.268026116,0.091461181,,
45,16,0,White,transformed,0,2.269019472,0.091496511,,-2.193969197
46,16,0,White,transformed,0,2.270059953,0.091532038,,
47,16,0,White,transformed,0,2.271155457,0.091567797,,
48,16,0,White,transformed,0,2.272313924,0.091603823,,
49,16,0,White,transformed,0,2.273563326,0.091640183,,
50,16,0,White,transformed,0,2.274984195,0.091677026,,
51,16,0,White,transformed,0,2.276665582,0.091714514,,
52,16,0,White,transformed,0,2.278696538,0.09175281,,
53,16,0,White,transformed,0,2.281166113,0.091792076,,
54,16,0,White,transformed,0,2.284163359,0.091832475,,
55,16,0,White,transformed,0,2.287777326,0.09187417,,
56,16,0,White,transformed,0,2.292096212,0.091917324,,
57,16,0,White,transformed,0,2.297133827,0.091962291,,
58,16,0,White,transformed,0,2.302772931,0.092009752,,
59,16,0,White,transformed,0,2.308882941,0.092060423,,
60,16,0,White,transformed,0,2.315333277,0.092115019,,-1.676455417
61,16,0,White,transformed,0,2.321993355,0.092174258,,
62,16,0,White,transformed,0,2.328732593,0.092238855,,
63,16,0,White,transformed,0,2.335420411,0.092309525,,
64,16,0,White,transformed,0,2.341928065,0.092387012,,
65,16,0,White,transformed,0,2.348187574,0.092472974,,
66,16,0,White,transformed,0,2.354204183,0.092570171,,
67,16,0,White,transformed,0,2.359987497,0.092681428,,
68,16,0,White,transformed,0,2.36554712,0.092809569,,
69,16,0,White,transformed,0,2.370892658,0.092957421,,
70,16,0,White,transformed,0,2.376033715,0.093127809,,
71,16,0,White,transformed,0,2.380979896,0.093323558,,
72,16,0,White,transformed,0,2.385741538,0.0935474,,
73,16,0,White,transformed,0,2.390341285,0.093800515,,
74,16,0,White,transformed,0,2.394811986,0.09408279,,
75,16,0,White,transformed,0,2.399186805,0.094394077,,-0.74764431
76,16,0,White,transformed,0,2.403498902,0.094734225,,
77,16,0,White,transformed,0,2.407781438,0.095103085,,
78,16,0,White,transformed,0,2.412067575,0.095500505,,
79,16,0,White,transformed,0,2.416390474,0.095926336,,
80,16,0,White,transformed,0,2.420783015,0.096380041,,
81,16,0,White,transformed,0,2.425275322,0.096857279,,
82,16,0,White,transformed,0,2.429895954,0.097351548,,
83,16,0,White,transformed,0,2.434673453,0.097856323,,
84,16,0,White,transformed,0,2.43963636,0.098365078,,
85,16,0,White,transformed,0,2.444813217,0.098871288,,
86,16,0,White,transformed,0,2.450232564,0.099368427,,
87,16,0,White,transformed,0,2.455922943,0.099849971,,
88,16,0,White,transformed,0,2.46191218,0.100310344,,
89,16,0,White,transformed,0,2.468223696,0.100749851,,
90,16,0,White,transformed,0,2.474879227,0.101171034,,
91,16,0,White,transformed,0,2.48190051,0.10157644,,
92,16,0,White,transformed,0,2.48930928,0.101968616,,
93,16,0,White,transformed,0,2.497127273,0.102350109,,
94,16,0,White,transformed,0,2.505376224,0.102723466,,
95,16,0,White,transformed,0,2.514077868,0.103091233,,
40,17,0,White,transformed,0,2.257839862,0.09132112,,
41,17,0,White,transformed,0,2.25872372,0.091356017,,
42,17,0,White,transformed,0,2.259623103,0.091390969,,
43,17,0,White,transformed,0,2.260545911,0.091426012,,
44,17,0,White,transformed,0,2.261500043,0.091461181,,
45,17,0,White,transformed,0,2.262493399,0.091496511,,
46,17,0,White,transformed,0,2.263533879,0.091532038,,
47,17,0,White,transformed,0,2.264629383,0.091567797,,
48,17,0,White,transformed,0,2.265787851,0.091603823,,
49,17,0,White,transformed,0,2.267037252,0.091640183,,
50,17,0,White,transformed,0,2.268458121,0.091677026,,
51,17,0,White,transformed,0,2.270139508,0.091714514,,
52,17,0,White,transformed,0,2.272170464,0.09175281,,
53,17,0,White,transformed,0,2.27464004,0.091792076,,
54,17,0,White,transformed,0,2.277637286,0.091832475,,
55,17,0,White,transformed,0,2.281251253,0.09187417,,
56,17,0,White,transformed,0,2.285570138,0.091917324,,
57,17,0,White,transformed,0,2.290607754,0.091962291,,
58,17,0,White,transformed,0,2.296246857,0.092009752,,
59,17,0,White,transformed,0,2.302356868,0.092060423,,
60,17,0,White,transformed,0,2.308807203,0.092115019,,
61,17,0,White,transformed,0,2.315467281,0.092174258,,
62,17,0,White,transformed,0,2.32220652,0.092238855,,
63,17,0,White,transformed,0,2.328894338,0.092309525,,
64,17,0,White,transformed,0,2.335401992,0.092387012,,
65,17,0,White,transformed,0,2.341661501,0.092472974,,
66,17,0,White,transformed,0,2.34767811,0.092570171,,
67,17,0,White,transformed,0,2.353461423,0.092681428,,
68,17,0,White,transformed,0,2.359021046,0.092809569,,
69,17,0,White,transformed,0,2.364366584,0.092957421,,
70,17,0,White,transformed,0,2.369507641,0.093127809,,
71,17,0,White,transformed,0,2.374453822,0.093323558,,
72,17,0,White,transformed,0,2.379215465,0.0935474,,
73,17,0,White,transformed,0,2.383815211,0.093800515,,
74,17,0,White,transformed,0,2.388285913,0.09408279,,
75,17,0,White,transformed,0,2.392660732,0.094394077,,
76,17,0,White,transformed,0,2.396972829,0.094734225,,
77,17,0,White,transformed,0,2.401255365,0.095103085,,
78,17,0,White,transformed,0,2.405541502,0.095500505,,
79,17,0,White,transformed,0,2.4098644,0.095926336,,
80,17,0,White,transformed,0,2.414256941,0.096380041,,
81,17,0,White,transformed,0,2.418749248,0.096857279,,
82,17,0,White,transformed,0,2.423369881,0.097351548,,
83,17,0,White,transformed,0,2.42814738,0.097856323,,
84,17,0,White,transformed,0,2.433110287,0.098365078,,
85,17,0,White,transformed,0,2.438287143,0.098871288,,
86,17,0,White,transformed,0,2.44370649,0.099368427,,
87,17,0,White,transformed,0,2.449396869,0.099849971,,
88,17,0,White,transformed,0,2.455386107,0.100310344,,
89,17,0,White,transformed,0,2.461697622,0.100749851,,
90,17,0,White,transformed,0,2.468353154,0.101171034,,
91,17,0,White,transformed,0,2.475374437,0.10157644,,
92,17,0,White,transformed,0,2.482783207,0.101968616,,
93,17,0,White,transformed,0,2.490601199,0.102350109,,
94,17,0,White,transformed,0,2.49885015,0.102723466,,
95,17,0,White,transformed,0,2.507551794,0.103091233,,
40,18,0,White,transformed,0,2.251313788,0.09132112,,
41,18,0,White,transformed,0,2.252197647,0.091356017,,
42,18,0,White,transformed,0,2.25309703,0.091390969,,
43,18,0,White,transformed,0,2.254019837,0.091426012,,
44,18,0,White,transformed,0,2.254973969,0.091461181,,
45,18,0,White,transformed,0,2.255967325,0.091496511,,
46,18,0,White,transformed,0,2.257007806,0.091532038,,
47,18,0,White,transformed,0,2.25810331,0.091567797,,
48,18,0,White,transformed,0,2.259261778,0.091603823,,
49,18,0,White,transformed,0,2.260511179,0.091640183,,
50,18,0,White,transformed,0,2.261932048,0.091677026,,
51,18,0,White,transformed,0,2.263613435,0.091714514,,
52,18,0,White,transformed,0,2.265644391,0.09175281,,
53,18,0,White,transformed,0,2.268113967,0.091792076,,
54,18,0,White,transformed,0,2.271111212,0.091832475,,
55,18,0,White,transformed,0,2.27472518,0.09187417,,
56,18,0,White,transformed,0,2.279044065,0.091917324,,
57,18,0,White,transformed,0,2.28408168,0.091962291,,
58,18,0,White,transformed,0,2.289720784,0.092009752,,
59,18,0,White,transformed,0,2.295830795,0.092060423,,
60,18,0,White,transformed,0,2.30228113,0.092115019,,
61,18,0,White,transformed,0,2.308941208,0.092174258,,
62,18,0,White,transformed,0,2.315680447,0.092238855,,
63,18,0,White,transformed,0,2.322368264,0.092309525,,
64,18,0,White,transformed,0,2.328875918,0.092387012,,
65,18,0,White,transformed,0,2.335135427,0.092472974,,
66,18,0,White,transformed,0,2.341152036,0.092570171,,
67,18,0,White,transformed,0,2.34693535,0.092681428,,
68,18,0,White,transformed,0,2.352494973,0.092809569,,
69,18,0,White,transformed,0,2.357840511,0.092957421,,
70,18,0,White,transformed,0,2.362981568,0.093127809,,
71,18,0,White,transformed,0,2.367927749,0.093323558,,
72,18,0,White,transformed,0,2.372689391,0.0935474,,
73,18,0,White,transformed,0,2.377289138,0.093800515,,
74,18,0,White,transformed,0,2.38175984,0.09408279,,
75,18,0,White,transformed,0,2.386134658,0.094394077,,
76,18,0,White,transformed,0,2.390446755,0.094734225,,
77,18,0,White,transformed,0,2.394729292,0.095103085,,
78,18,0,White,transformed,0,2.399015428,0.095500505,,
79,18,0,White,transformed,0,2.403338327,0.095926336,,
80,18,0,White,transformed,0,2.407730868,0.096380041,,
81,18,0,White,transformed,0,2.412223175,0.096857279,,
82,18,0,White,transformed,0,2.416843807,0.097351548,,
83,18,0,White,transformed,0,2.421621306,0.097856323,,
