NACCAGE,EDUC,SEX,mean.adj,sd.adj,Zscore
51,15,0,2.303186281,0.098890568,0
52,15,0,2.305150385,0.098894586,0
53,15,0,2.307575059,0.098898664,0
54,15,0,2.310612016,0.098902813,0
55,15,0,2.314412969,0.098907045,0
56,15,0,2.319128261,0.098911371,0
57,15,0,2.324788742,0.098915828,0
58,15,0,2.331214734,0.098920492,0
59,15,0,2.338205132,0.098925445,0
60,15,0,2.345558829,0.098930768,0
61,15,0,2.353074719,0.098936541,0
62,15,0,2.360551696,0.098942846,0
63,15,0,2.367788655,0.098949765,0
64,15,0,2.374587758,0.098957386,0
65,15,0,2.38085922,0.098966064,0
66,15,0,2.38664347,0.098976475,0
67,15,0,2.391988692,0.09898931,0
68,15,0,2.396943067,0.099005266,0
69,15,0,2.401554778,0.099025034,0
70,15,0,2.405872007,0.09904931,0
71,15,0,2.409942936,0.099078786,0
72,15,0,2.413815779,0.099114232,0
73,15,0,2.417539258,0.099157698,0
74,15,0,2.421162518,0.09921229,0
75,15,0,2.424734716,0.09928115,0
76,15,0,2.428305012,0.099367419,0
77,15,0,2.431922564,0.099474236,0
78,15,0,2.435636528,0.099604743,0
79,15,0,2.439496065,0.09976208,0
80,15,0,2.443546407,0.099948747,0
81,15,0,2.447794236,0.100160934,0
82,15,0,2.452224353,0.100391257,0
83,15,0,2.456821307,0.100632287,0
84,15,0,2.461569646,0.100876597,0
85,15,0,2.46645392,0.101116759,0
86,15,0,2.471458678,0.101345345,0
87,15,0,2.47656847,0.101554928,0
88,15,0,2.481796637,0.101739203,0
89,15,0,2.487334225,0.101898797,0
90,15,0,2.493439995,0.102036975,0
91,15,0,2.500372846,0.102157012,0
92,15,0,2.508391673,0.102262178,0
93,15,0,2.517755373,0.102355748,0
94,15,0,2.528722843,0.102440992,0
95,15,0,2.541552981,0.102521183,0
40,16,0,2.271081005,0.098847763,0
41,16,0,2.274149445,0.098851621,0
42,16,0,2.276981681,0.098855481,0
43,16,0,2.279587664,0.098859344,0
44,16,0,2.281977348,0.098863211,0
45,16,0,2.284160686,0.098867084,-1.877260931
46,16,0,2.286147629,0.098870964,0
47,16,0,2.287948131,0.098874852,0
48,16,0,2.289572213,0.09887875,0
49,16,0,2.29106489,0.098882662,0
